gate_id,required_signal_count,unsafe_qualified_state_count,unsafe_qualified_states,incorrect_state_rejection_count,incorrect_states_rejected,benign_loss_subset_count,minimum_missing_signals_for_benign_loss
G0_SIGNATURE_ONLY,1,4,APPROVED_BAD_SOURCE;SOURCE_REVIEW_BYPASS;TRUSTED_BUILDER_COMPROMISE;TRUSTED_SIGNER_COMPROMISE,1,POST_RELEASE_TAMPER,32,1
G1_SIGNATURE_TARGET_DIGEST,2,3,APPROVED_BAD_SOURCE;SOURCE_REVIEW_BYPASS;TRUSTED_BUILDER_COMPROMISE,2,POST_RELEASE_TAMPER;TRUSTED_SIGNER_COMPROMISE,48,1
G2_SIGNATURE_PROVENANCE,2,3,APPROVED_BAD_SOURCE;SOURCE_REVIEW_BYPASS;TRUSTED_BUILDER_COMPROMISE,2,POST_RELEASE_TAMPER;TRUSTED_SIGNER_COMPROMISE,48,1
G3_PROVENANCE_REPRODUCED_BUILD,3,2,APPROVED_BAD_SOURCE;SOURCE_REVIEW_BYPASS,3,POST_RELEASE_TAMPER;TRUSTED_BUILDER_COMPROMISE;TRUSTED_SIGNER_COMPROMISE,56,1
G4_PROVENANCE_SOURCE_REVIEW,3,2,APPROVED_BAD_SOURCE;TRUSTED_BUILDER_COMPROMISE,3,POST_RELEASE_TAMPER;SOURCE_REVIEW_BYPASS;TRUSTED_SIGNER_COMPROMISE,56,1
G5_COMPOSITE,6,1,APPROVED_BAD_SOURCE,4,POST_RELEASE_TAMPER;SOURCE_REVIEW_BYPASS;TRUSTED_BUILDER_COMPROMISE;TRUSTED_SIGNER_COMPROMISE,63,1
