global_position	campaign_seed	cell_id	cell_order_index	run_id	event_id	mission_state_id	contact_condition_id	evidence_condition_id	requested_policy_id	effective_policy_id	p6_to_p5_delegation	P1_block	P2_block	P3_block	P4_block	pareto_group	M01_unauthorized_effect_completed	M02_mission_objective_completion_ratio	M03_safety_invariant_violation_count	M04_containment_event	M04_containment_analysis_time_s	M05_verified_recovery_event	M05_verified_recovery_analysis_time_s	M06_legitimate_commands_rejected	M06_legitimate_commands_attempted	M06_legitimate_command_rejection_rate	M07_ground_spacecraft_state_divergence_s	M08_available_current_count	M08_applicable_evidence_count	M08_evidence_completeness_ratio	terminal_state
19	10001	A20	19	20260825T162250Z-wp9-r069-p0019-s10001-a20-fd033fd60f35418f88d416d09040834a	E2	M0	C0	T0	P1	P1	false	false	false	false	false	G08	false	1.0	0	1	1.774065292	0	30.0	0	1	0.0	0.0	5	5	1.0	OPERATIONAL_BUT_UNVERIFIED
20	10001	A01	20	20260825T162730Z-wp9-r069-p0020-s10001-a01-4868a37a7e8b437a92d070ea681243fc	E1	M0	C0	T0	P1	P1	false	true	false	false	false	G01	true	0.5	0	1	4.144543016	0	30.0	0	1	0.0	5.190737682	5	5	1.0	OPERATIONAL_BUT_UNVERIFIED
21	10001	A09	21	20260825T163210Z-wp9-r069-p0021-s10001-a09-aa3d2b34a93748ad9797562f7a7f5be6	E1	M2	C0	T1	P7	P4	false	false	false	false	true	G04	true	0.0	0	1	4.5194696080000005	0	30.0	1	1	1.0	29.346681027	5	5	1.0	CONTAINED_NOT_RECOVERED
22	10001	A07	22	20260825T163859Z-wp9-r069-p0022-s10001-a07-e187b1feb63c4d3aaeb63a4d486a6e8d	E1	M2	C0	T0	P2	P2	false	false	false	false	true	G02	true	0.5	0	1	6.697541345	0	30.0	0	1	0.0	7.673302568	5	5	1.0	OPERATIONAL_BUT_UNVERIFIED
23	10001	A06	23	20260825T164554Z-wp9-r069-p0023-s10001-a06-7400aa908bcf4796ae76b8654c9d3196	E1	M4	C0	T0	P7	P2	false	true	false	false	false	G03	true	0.5	0	1	9.014241853	0	30.0	0	1	0.0	10.536066306	5	5	1.0	OPERATIONAL_BUT_UNVERIFIED
24	10001	A17	24	20260825T165249Z-wp9-r069-p0024-s10001-a17-f7656c3ce4ad44ad82934334a1dcd688	E3	M4	C1	T0	P6	P6	true	false	true	false	false	G07	true	1.0	0	1	11.381092612	1	14.196430443	0	1	0.0	11.214483296	10	10	1.0	TRUSTED_RECOVERY_CONFIRMED
25	10002	A05	1	20260825T165704Z-wp9-r069-p0025-s10002-a05-fa424e8e815e4c6b9de5732251939742	E1	M4	C0	T0	P1	P1	false	true	false	false	false	G03	true	0.5	0	1	4.28441679	0	30.0	0	1	0.0	5.187932686	5	5	1.0	OPERATIONAL_BUT_UNVERIFIED
26	10002	A11	2	20260825T170149Z-wp9-r069-p0026-s10002-a11-eefbbd32d92b45fca3567012f0234e95	E3	M4	C0	T0	P7	P5	false	false	true	true	true	G05	true	1.0	0	1	0.7956634579999999	1	2.780424121	0	1	0.0	0.671001639	10	10	1.0	TRUSTED_RECOVERY_CONFIRMED
27	10002	A12	3	20260825T170528Z-wp9-r069-p0027-s10002-a12-1701c884593f4bac805b27b4e32b259b	E3	M4	C0	T1	P2	P2	false	false	false	false	true	G06	true	0.5	0	0	30.0	0	30.0	0	1	0.0	29.879351227999997	10	10	1.0	RECOVERY_FAILED
28	10002	A21	4	20260825T170905Z-wp9-r069-p0028-s10002-a21-5a4089de03164cee84c573da9c8f8b1d	E2	M0	C0	T0	P7	P1	false	false	false	false	false	G08	false	1.0	0	1	1.70940413	0	30.0	0	1	0.0	0.0	5	5	1.0	OPERATIONAL_BUT_UNVERIFIED
29	10002	A13	5	20260825T171343Z-wp9-r069-p0029-s10002-a13-d792d2d4928b41d6b1a293655fe1eab0	E3	M4	C0	T1	P7	P2	false	false	false	true	true	G06	true	0.5	0	0	30.0	0	30.0	0	1	0.0	29.87443957	10	10	1.0	RECOVERY_FAILED
30	10002	A18	6	20260825T171726Z-wp9-r069-p0030-s10002-a18-68acf97957c84131942c91df4308b045	E3	M4	C1	T0	P7	P5	false	false	true	false	false	G07	true	1.0	0	1	0.910991877	1	2.921741863	0	1	0.0	0.756361987	10	10	1.0	TRUSTED_RECOVERY_CONFIRMED
31	10002	A24	7	20260825T172105Z-wp9-r069-p0031-s10002-a24-06a35f52a7604959aae87d1dac6768dc	E4	M2	C0	T0	P7	P4	false	false	false	false	false	G09	true	0.5	0	0	30.0	0	30.0	1	1	1.0	0.0	2	3	0.6666666666666666	RECOVERY_FAILED
32	10002	A22	8	20260825T175615Z-wp9-r069-p0032-s10002-a22-58c116d826c8413eb7611f9158a6e4ab	E4	M2	C0	T0	P0	P0	false	false	false	false	false	G09	true	0.5	0	0	30.0	0	30.0	0	1	0.0	0.0	2	3	0.6666666666666666	RECOVERY_FAILED
33	10002	A23	9	20260825T180116Z-wp9-r069-p0033-s10002-a23-5e4dfe57fd8b4bdc9b050dccd78fabff	E4	M2	C0	T0	P4	P4	false	false	false	false	false	G09	true	0.5	0	0	30.0	0	30.0	1	1	1.0	0.0	2	3	0.6666666666666666	RECOVERY_FAILED
34	10002	A06	10	20260825T180604Z-wp9-r069-p0034-s10002-a06-ea3f4194c5d1450a959f30c8e9e4c899	E1	M4	C0	T0	P7	P2	false	true	false	false	false	G03	true	0.5	0	1	4.137836852	0	30.0	0	1	0.0	5.179616009	5	5	1.0	OPERATIONAL_BUT_UNVERIFIED
35	10002	A20	11	20260825T181048Z-wp9-r069-p0035-s10002-a20-716bac7be12d46d99a9d2f906dff56a2	E2	M0	C0	T0	P1	P1	false	false	false	false	false	G08	false	1.0	0	1	2.320220784	0	30.0	0	1	0.0	0.0	5	5	1.0	OPERATIONAL_BUT_UNVERIFIED
36	10002	A19	12	20260825T181542Z-wp9-r069-p0036-s10002-a19-1fd4052b9c4b46c5b05cb918405624d4	E2	M0	C0	T0	P0	P0	false	false	false	false	false	G08	true	0.5	0	0	30.0	0	30.0	0	1	0.0	28.119255509000002	5	5	1.0	RECOVERY_FAILED
37	10002	A14	13	20260825T182049Z-wp9-r069-p0037-s10002-a14-3c6b682f1ae44a84ab485987e0dfe022	E3	M4	C0	T0	P5	P5	false	false	false	true	false	G05	true	1.0	0	1	0.9473141110000001	1	3.51750542	0	1	0.0	0.7640774450000001	10	10	1.0	TRUSTED_RECOVERY_CONFIRMED
38	10002	A08	14	20260825T182458Z-wp9-r069-p0038-s10002-a08-1c14931f6ff04bc6a25afb0c40875c03	E1	M2	C0	T1	P2	P2	false	false	false	false	true	G04	true	0.5	0	1	4.54043994	0	30.0	0	1	0.0	5.564789263	5	5	1.0	OPERATIONAL_BUT_UNVERIFIED
39	10002	A07	15	20260825T182935Z-wp9-r069-p0039-s10002-a07-c885af73d58a42c8aac76d4a05046b8c	E1	M2	C0	T0	P2	P2	false	false	false	false	true	G02	true	0.5	0	1	4.06028649	0	30.0	0	1	0.0	5.220000367	5	5	1.0	OPERATIONAL_BUT_UNVERIFIED
40	10002	A15	16	20260825T183419Z-wp9-r069-p0040-s10002-a15-83a4be7d00e046afa1c9800ec6b358c6	E3	M4	C0	T1	P5	P5	false	false	false	true	false	G06	true	1.0	0	1	0.976967995	1	3.0645795369999997	0	1	0.0	0.819719876	10	10	1.0	TRUSTED_RECOVERY_CONFIRMED
41	10002	A04	17	20260825T183814Z-wp9-r069-p0041-s10002-a04-120585a7270b4b55b8d3c335c4386f4c	E1	M2	C0	T0	P7	P2	false	true	false	false	true	G02	true	0.5	0	1	7.843656814	0	30.0	0	1	0.0	8.850438215999999	5	5	1.0	OPERATIONAL_BUT_UNVERIFIED
42	10002	A10	18	20260825T184407Z-wp9-r069-p0042-s10002-a10-9b56fdccdb0e4f92bb48c10d57aa0221	E3	M4	C0	T0	P2	P2	false	false	false	false	true	G05	true	0.5	0	0	30.0	0	30.0	0	1	0.0	29.808888599	10	10	1.0	RECOVERY_FAILED
43	10002	A02	19	20260825T184827Z-wp9-r069-p0043-s10002-a02-dbbdb1cdcfe344af9e9efa507daec953	E1	M0	C0	T0	P7	P1	false	true	false	false	false	G01	true	0.5	0	1	5.417232535	0	30.0	0	1	0.0	6.572898305	5	5	1.0	OPERATIONAL_BUT_UNVERIFIED
44	10002	A16	20	20260825T185350Z-wp9-r069-p0044-s10002-a16-e6a2faada07e4ddb8a6ada93c226c141	E3	M4	C0	T0	P6	P6	true	false	true	false	false	G05	true	1.0	0	1	2.015851374	1	5.453497774	0	1	0.0	1.7630219079999998	10	10	1.0	TRUSTED_RECOVERY_CONFIRMED
45	10002	A09	21	20260825T185739Z-wp9-r069-p0045-s10002-a09-1355bd8c99fc48cc9444e03c87e028a7	E1	M2	C0	T1	P7	P4	false	false	false	false	true	G04	true	0.0	0	1	3.92778615	0	30.0	1	1	1.0	29.407287985	5	5	1.0	CONTAINED_NOT_RECOVERED
46	10002	A17	22	20260825T190222Z-wp9-r069-p0046-s10002-a17-7a6aec30113d4f56b7a26e7e3ce3442b	E3	M4	C1	T0	P6	P6	true	false	true	false	false	G07	true	1.0	0	1	11.134874070999999	1	13.558624183	0	1	0.0	11.010249368	10	10	1.0	TRUSTED_RECOVERY_CONFIRMED
47	10002	A03	23	20260825T190616Z-wp9-r069-p0047-s10002-a03-86c66e302e18457788d0c345eb0e4ddb	E1	M2	C0	T0	P1	P1	false	true	false	false	false	G02	true	0.5	0	1	3.9230153700000003	0	30.0	0	1	0.0	4.9553779350000005	5	5	1.0	OPERATIONAL_BUT_UNVERIFIED
48	10002	A01	24	20260825T191058Z-wp9-r069-p0048-s10002-a01-f024213dc67845cba1b1c0df593e7a16	E1	M0	C0	T0	P1	P1	false	true	false	false	false	G01	true	0.5	0	1	5.935516748	0	30.0	0	1	0.0	7.147253019000001	5	5	1.0	OPERATIONAL_BUT_UNVERIFIED
49	10003	A15	1	20260825T191619Z-wp9-r069-p0049-s10003-a15-d9b7fcf137fb4bc48f36d0270e96adb4	E3	M4	C0	T1	P5	P5	false	false	false	true	false	G06	true	1.0	0	1	1.202278412	1	4.48002982	0	1	0.0	1.0140794450000001	10	10	1.0	TRUSTED_RECOVERY_CONFIRMED
50	10003	A22	2	20260825T192014Z-wp9-r069-p0050-s10003-a22-e521c2a04a8a418caf1fe0e8ec6648e3	E4	M2	C0	T0	P0	P0	false	false	false	false	false	G09	true	0.5	0	0	30.0	0	30.0	0	1	0.0	0.0	2	3	0.6666666666666666	RECOVERY_FAILED
51	10003	A13	3	20260825T192510Z-wp9-r069-p0051-s10003-a13-54229631d08749959d62ee0c3cbb373b	E3	M4	C0	T1	P7	P2	false	false	false	true	true	G06	true	0.5	0	0	30.0	0	30.0	0	1	0.0	29.855222664	10	10	1.0	RECOVERY_FAILED
