observation_id,profile,policy,regime,disruption,phase_offset,deadline,trusted_recovery_success,recovery_completion_slot,contacts_consumed,cryptographic_bytes_transferred,transition_attempts,legacy_exposure_slots,control_unavailable_slots,dual_epoch_overlap_slots,rollback_invoked,stale_epoch_acceptance,terminal_state,proof_accepted_slot,commit_slot
S8-0027,PROFILE_512_44,P0_HARD_CUTOVER,R1_FREQUENT_SMALL,A1_DROP_FIRST_LARGEST_OBJECT_FRAGMENT,2,48,1,9,4,14980,1,0,9,0,0,0,TRUST_RESTORED,6,9
S8-0028,PROFILE_512_44,P0_HARD_CUTOVER,R1_FREQUENT_SMALL,A1_DROP_FIRST_LARGEST_OBJECT_FRAGMENT,3,12,1,11,4,14980,1,0,11,0,0,0,TRUST_RESTORED,8,11
S8-0029,PROFILE_512_44,P0_HARD_CUTOVER,R1_FREQUENT_SMALL,A1_DROP_FIRST_LARGEST_OBJECT_FRAGMENT,3,24,1,11,4,14980,1,0,11,0,0,0,TRUST_RESTORED,8,11
S8-0030,PROFILE_512_44,P0_HARD_CUTOVER,R1_FREQUENT_SMALL,A1_DROP_FIRST_LARGEST_OBJECT_FRAGMENT,3,48,1,11,4,14980,1,0,11,0,0,0,TRUST_RESTORED,8,11
S8-0031,PROFILE_512_44,P0_HARD_CUTOVER,R1_FREQUENT_SMALL,A1_DROP_FIRST_LARGEST_OBJECT_FRAGMENT,4,12,1,10,4,14980,1,0,10,0,0,0,TRUST_RESTORED,7,10
S8-0032,PROFILE_512_44,P0_HARD_CUTOVER,R1_FREQUENT_SMALL,A1_DROP_FIRST_LARGEST_OBJECT_FRAGMENT,4,24,1,10,4,14980,1,0,10,0,0,0,TRUST_RESTORED,7,10
S8-0033,PROFILE_512_44,P0_HARD_CUTOVER,R1_FREQUENT_SMALL,A1_DROP_FIRST_LARGEST_OBJECT_FRAGMENT,4,48,1,10,4,14980,1,0,10,0,0,0,TRUST_RESTORED,7,10
S8-0034,PROFILE_512_44,P0_HARD_CUTOVER,R1_FREQUENT_SMALL,A1_DROP_FIRST_LARGEST_OBJECT_FRAGMENT,5,12,1,9,4,14980,1,0,9,0,0,0,TRUST_RESTORED,6,9
S8-0035,PROFILE_512_44,P0_HARD_CUTOVER,R1_FREQUENT_SMALL,A1_DROP_FIRST_LARGEST_OBJECT_FRAGMENT,5,24,1,9,4,14980,1,0,9,0,0,0,TRUST_RESTORED,6,9
S8-0036,PROFILE_512_44,P0_HARD_CUTOVER,R1_FREQUENT_SMALL,A1_DROP_FIRST_LARGEST_OBJECT_FRAGMENT,5,48,1,9,4,14980,1,0,9,0,0,0,TRUST_RESTORED,6,9
S8-0037,PROFILE_512_44,P0_HARD_CUTOVER,R1_FREQUENT_SMALL,A2_DELAY_FIRST_TRANSITION_PROOF_ONE_CONTACT,0,12,1,8,4,12560,1,0,8,0,0,0,TRUST_RESTORED,5,8
S8-0038,PROFILE_512_44,P0_HARD_CUTOVER,R1_FREQUENT_SMALL,A2_DELAY_FIRST_TRANSITION_PROOF_ONE_CONTACT,0,24,1,8,4,12560,1,0,8,0,0,0,TRUST_RESTORED,5,8
S8-0039,PROFILE_512_44,P0_HARD_CUTOVER,R1_FREQUENT_SMALL,A2_DELAY_FIRST_TRANSITION_PROOF_ONE_CONTACT,0,48,1,8,4,12560,1,0,8,0,0,0,TRUST_RESTORED,5,8
