policy,successes,total,success_percent,mean_completion_slot_successes_only,mean_contacts,mean_modeled_crypto_bytes,mean_transition_attempts,mean_legacy_exposure_slots,mean_control_unavailable_slots,mean_dual_epoch_overlap_slots,terminal_failure_counts
P0_HARD_CUTOVER,635,864,73.495370,13.703937,2.864583,16985.531250,1.040509,0.000000,12.195602,0.000000,"EPOCH_DIVERGENCE=52; INSUFFICIENT_MATERIAL_TRANSFER=177"
P1_STAGED_CUTOVER,635,864,73.495370,13.703937,2.864583,16985.531250,1.040509,12.195602,0.000000,0.000000,"EPOCH_DIVERGENCE=52; INSUFFICIENT_MATERIAL_TRANSFER=177"
P2_HYBRID_OVERLAP,635,864,73.495370,13.703937,2.864583,16985.531250,1.040509,12.195602,0.000000,3.403935,"EPOCH_DIVERGENCE=52; INSUFFICIENT_MATERIAL_TRANSFER=177"
P3_CONTACT_AWARE_STAGED,635,864,73.495370,13.703937,2.843750,16551.819444,0.923611,12.497685,0.000000,0.000000,"CONTACT_BUDGET_EXHAUSTED=148; INSUFFICIENT_MATERIAL_TRANSFER=81"
