cell_id	event_id	evidence_condition_id	requested_policy_id	effective_policy_id	selected_action	terminal_state	count	proportion
A04	E1	T0	P7	P2	RESTRICT_HIGH_RISK_COMMANDS	OPERATIONAL_BUT_UNVERIFIED	30	1.0
A07	E1	T0	P2	P2	RESTRICT_HIGH_RISK_COMMANDS	OPERATIONAL_BUT_UNVERIFIED	30	1.0
A08	E1	T1	P2	P2	RESTRICT_HIGH_RISK_COMMANDS	OPERATIONAL_BUT_UNVERIFIED	30	1.0
A09	E1	T1	P7	P4	ENTER_SAFE_MODE	CONTAINED_NOT_RECOVERED	30	1.0
A10	E3	T0	P2	P2	RESTRICT_HIGH_RISK_COMMANDS	RECOVERY_FAILED	30	1.0
A11	E3	T0	P7	P5	REQUEST_VERIFIED_ROLLBACK	TRUSTED_RECOVERY_CONFIRMED	30	1.0
A12	E3	T1	P2	P2	RESTRICT_HIGH_RISK_COMMANDS	RECOVERY_FAILED	30	1.0
A13	E3	T1	P7	P2	RESTRICT_HIGH_RISK_COMMANDS	RECOVERY_FAILED	30	1.0
