event_id	endpoint	contrast	estimate	bootstrap95_low	bootstrap95_high	analysis_role	interpretation_direction
E3	M03_safety_violation_count	evidence_by_requested_policy_interaction	0.0	0.0	0.0	PRIMARY_OR_SUPPORTING_P4_CONSEQUENCE	positive=T1 changes endpoint more under P7 than fixed P2
E3	mission_loss	P2_T1_minus_T0	0.0	0.0	0.0	PRIMARY_OR_SUPPORTING_P4_CONSEQUENCE	positive=T1 higher than T0 within requested policy
E3	mission_loss	P7_T1_minus_T0	0.0	0.0	0.0	PRIMARY_OR_SUPPORTING_P4_CONSEQUENCE	positive=T1 higher than T0 within requested policy
E3	mission_loss	evidence_by_requested_policy_interaction	0.0	0.0	0.0	PRIMARY_OR_SUPPORTING_P4_CONSEQUENCE	positive=T1 changes endpoint more under P7 than fixed P2
E3	trusted_recovery	P2_T1_minus_T0	0.0	0.0	0.0	PRIMARY_OR_SUPPORTING_P4_CONSEQUENCE	positive=T1 higher than T0 within requested policy
E3	trusted_recovery	P7_T1_minus_T0	-1.0	-1.0	-1.0	PRIMARY_OR_SUPPORTING_P4_CONSEQUENCE	positive=T1 higher than T0 within requested policy
E3	trusted_recovery	evidence_by_requested_policy_interaction	-1.0	-1.0	-1.0	PRIMARY_OR_SUPPORTING_P4_CONSEQUENCE	positive=T1 changes endpoint more under P7 than fixed P2
E3	recovery_failed	P2_T1_minus_T0	0.0	0.0	0.0	PRIMARY_OR_SUPPORTING_P4_CONSEQUENCE	positive=T1 higher than T0 within requested policy
E3	recovery_failed	P7_T1_minus_T0	1.0	1.0	1.0	PRIMARY_OR_SUPPORTING_P4_CONSEQUENCE	positive=T1 higher than T0 within requested policy
E3	recovery_failed	evidence_by_requested_policy_interaction	1.0	1.0	1.0	PRIMARY_OR_SUPPORTING_P4_CONSEQUENCE	positive=T1 changes endpoint more under P7 than fixed P2
E3	operational_unverified	P2_T1_minus_T0	0.0	0.0	0.0	SUPPORTING_TERMINAL_CONSEQUENCE	positive=T1 higher than T0 within requested policy
E3	operational_unverified	P7_T1_minus_T0	0.0	0.0	0.0	SUPPORTING_TERMINAL_CONSEQUENCE	positive=T1 higher than T0 within requested policy
E3	operational_unverified	evidence_by_requested_policy_interaction	0.0	0.0	0.0	SUPPORTING_TERMINAL_CONSEQUENCE	positive=T1 changes endpoint more under P7 than fixed P2
E3	M06_legitimate_rejection_rate	P2_T1_minus_T0	0.0	0.0	0.0	SECONDARY_OPERATIONAL_COST	positive=T1 higher than T0 within requested policy
E3	M06_legitimate_rejection_rate	P7_T1_minus_T0	0.0	0.0	0.0	SECONDARY_OPERATIONAL_COST	positive=T1 higher than T0 within requested policy
E3	M06_legitimate_rejection_rate	evidence_by_requested_policy_interaction	0.0	0.0	0.0	SECONDARY_OPERATIONAL_COST	positive=T1 changes endpoint more under P7 than fixed P2
