proposition	cell_label	cell_id	trusted	n	trusted_rate	exact95_low	exact95_high	terminal_state_counts
P2	P6_C0	A16	30	30	1.0	0.8842966917779722	1.0	TRUSTED_RECOVERY_CONFIRMED:30
P2	P6_C1	A17	30	30	1.0	0.8842966917779722	1.0	TRUSTED_RECOVERY_CONFIRMED:30
P2	P7_C0	A11	30	30	1.0	0.8842966917779722	1.0	TRUSTED_RECOVERY_CONFIRMED:30
P2	P7_C1	A18	30	30	1.0	0.8842966917779722	1.0	TRUSTED_RECOVERY_CONFIRMED:30
P3	P5_T0	A14	30	30	1.0	0.8842966917779722	1.0	TRUSTED_RECOVERY_CONFIRMED:30
P3	P5_T1	A15	30	30	1.0	0.8842966917779722	1.0	TRUSTED_RECOVERY_CONFIRMED:30
P3	P7_T0	A11	30	30	1.0	0.8842966917779722	1.0	TRUSTED_RECOVERY_CONFIRMED:30
P3	P7_T1	A13	0	30	0.0	0.0	0.11570330822202779	RECOVERY_FAILED:30
